"upc","brand_filled","line","product_descr","num_cartridges_f","total_units"
"086000489504","FUMEE","FUMEE","FUMEE SMOKING ALTERNATIVE PRODUCT MANGO 1 COUNT","1",4
"505671640230","LOST","LOST MARY","LOST MARY SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO WATERMELON BOX 1 COUNT","1",4
"505671640274","LOST","LOST MARY","LOST MARY SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO TRIPLE BERRY DUO ICE MESH COIL BOX 1 COUNT","1",4
"065436770665","CIGALECTRIC","CIGALECTRIC E-CGC REGULAR","CIGALECTRIC E-CGC REGULAR","1",3
"081323902063","SPACE JAM","SPC JM E-CG LIQUID PLUTO","SPC JM E-CG LIQUID PLUTO","1",3
"081717001006","NICSTICK","NICSTICK E-CGAC USA MIX","NICSTICK E-CGAC USA MIX","1",3
"085005158237","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO PEACH BLUE RASPBERRY BOX 1 COUNT","1",3
"085436100411","NE WHERE","NE WHERE E-CG G-G","NE WHERE E-CG G-G","1",3
"065436704351","CIGALECTRIC","CIGALECTRIC E-CGC REGULAR","CIGALECTRIC E-CGC REGULAR","2",2
"075166726955","VOODOO","VOODOO E-HOOKAH E-CG MN","VOODOO E-HOOKAH E-CG MN","1",2
"081076702041","ROYAL SMOKE","ROYAL SMOKE E-CG RED KING","ROYAL SMOKE E-CG RED KING","1",2
"081323902015","SPACE JAM","SPC JM E-CG LIQUID ASTRO","SPC JM E-CG LIQUID ASTRO","1",2
"081323902464","SPACE JAM","SPC JM E-CG LIQUID MTR MLK","SPC JM E-CG LIQUID MTR MLK","1",2
"085005158238","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO RED GRAPES BOX 1 COUNT","1",2
"085452700316","VIENTI","VIENTI","VIENTI SMOKING ALTERNATIVE PRODUCT TRAY IN BOX 1 COUNT","1",2
"002145800006","CLEAN CIG","CLN-CG E-CGA&CT/BT&ECC","CLN-CG E-CGA&CT/BT&ECC","3",1
"002145806005","CLEAN CIG","CLN-CG E-CG LIQUID CHERRY","CLN-CG E-CG LIQUID CHERRY","1",1
"002145806011","CLEAN CIG","CLN-CG E-CG LIQUID WM","CLN-CG E-CG LIQUID WM","1",1
"005284312007","SMOKE FREE","SMOKE FREE E-CG","SMOKE FREE E-CG","20",1
"009874701305","VIIGO","VIIGO","VIIGO SMOKING ALTERNATIVE PRODUCT MIXED FRUIT 3 COUNT","3",1
"061693254774","V-GAR 300","V-GAR 300 E-CG TOB","V-GAR 300 E-CG TOB","1",1
"065436704352","CIGALECTRIC","CIGALECTRIC E-CGC MN","CIGALECTRIC E-CGC MN","2",1
"075166721843","VOODOO","V E-L E-CG LIQUID PEACH","V E-L E-CG LIQUID PEACH","1",1
"081076702224","MILLENNIUM","MLNM E-CG LIQUID RASPBERRY","MLNM E-CG LIQUID RASPBERRY","1",1
"081085902015","ZOOM","ZOOM","ZOOM SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE TOBACCO PREMIUM BOX 3 COUNT","3",1
"081323902286","SPACE JAM","SPC JM E-CG LIQUID PLSR","SPC JM E-CG LIQUID PLSR","1",1
"081717001002","NICSTICK","NICSTICK E-CGAC MN","NICSTICK E-CGAC MN","1",1
"084727700006","JASPER & JASPER","JJC E-CGC TOB","JJC E-CGC TOB","5",1
"085436100401","NE WHERE","NE WHERE E-CG MN","NE WHERE E-CG MN","1",1
