"category","upc","brand","brand_filled","brand_source","pfx_brand_conf","pfx","product_descr","num_cartridges_f","nic_mg_per_ml_f","total_units","cum_unit_share","years"
"e-liquid (impute mL)","081085902000","ZOOM","ZOOM","raw",1,"08108590","ZOOM E-CG TOB","1",NA,28856,0.9226,"2014;2015;2016;2017;2018;2019"
"e-liquid (impute mL)","081990502560",NA,"GLAS","prefix",1,"08199050","ELCT CGRTT LIQUID POD","1",NA,28698,0.9234,"2019;2020"
"e-liquid (impute mL)","088796900986","BLU","BLU","raw",1,"08879690","ELCT CGRTT LIQUID POD","1",NA,27971,0.9241,"2019;2020"
"hardware/device (exclude)","081990502668",NA,"GLAS","prefix",1,"08199050","ELCT VAPOR DEVICE","1",NA,27939,0.9248,"2019;2020"
"e-liquid (impute mL)","081764101580","KRAVE","KRAVE","raw",0.999,"08176410","KRAVE E-CG MN KING","1",NA,27833,0.9255,"2013;2014;2015;2016;2017;2018;2019;2021;2022"
"e-liquid (impute mL)","081505802006","LOGIC","LOGIC","raw",1,"08150580","LOGIC POWER E-CGC CHERRY","3",NA,26888,0.9262,"2016;2017;2018;2019;2020"
"e-liquid (impute mL)","085570400757","HAUS","HAUS","raw",0.768,"08557040","HAUS E-CG LIQUID ZOMBERRY","1",NA,26809,0.9268,"2016;2017;2018;2019;2020"
"e-liquid (impute mL)","081990502793",NA,"GLAS","prefix",1,"08199050","ELCT CGRTT LIQUID POD","1",NA,26376,0.9275,"2019;2020"
"e-liquid (impute mL)","081764101804","KRAVE","KRAVE","raw",0.999,"08176410","KRAVE 1001 E-CG MN RFL","3",NA,25047,0.9281,"2014;2015;2016;2017;2018;2019"
"bare UPC (needs barcode lookup)","085000134237",NA,"EPIC","prefix",1,"08500013",NA,NA,NA,24954,0.9288,"2020"
"e-liquid (impute mL)","085607300312","JAK","JAK","raw",1,"08560730","JAK E-CG MN","1",NA,24817,0.9294,"2015;2016;2017;2018;2019;2020;2021;2022;2023"
"e-liquid (impute mL)","081990502791",NA,"GLAS","prefix",1,"08199050","ELCT CGRTT LIQUID POD","1",NA,24022,0.93,"2019;2020"
"bare UPC (needs barcode lookup)","085000134234",NA,"EPIC","prefix",1,"08500013",NA,NA,NA,23984,0.9306,"2020"
"bare UPC (needs barcode lookup)","085570400539",NA,"HAUS","prefix",0.768,"08557040",NA,NA,NA,23607,0.9312,"2017;2018;2019;2020"
"e-liquid (impute mL)","085438400469","LOGIC","LOGIC","raw",1,"08543840","LP ECGLC PLATINUM TOB","5",NA,23271,0.9318,"2015;2016;2017;2018"
"e-liquid (impute mL)","088796901124","BLU","BLU","raw",1,"08879690","ELCT CGRTT LIQUID POD","1",NA,22705,0.9324,"2019;2020;2021"
"e-liquid (impute mL)","081713502323","CUE","CUE","raw",1,"08171350","ELCT CGRTT LIQUID CARTRIDGE","1",NA,22524,0.9329,"2018;2019;2020;2022;2023"
"e-liquid (impute mL)","085570400861","MISTIC","MISTIC","raw",0.768,"08557040","MISTIC ECGT RFL","1",NA,22502,0.9335,"2014;2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","085570400702","MISTIC","MISTIC","raw",0.768,"08557040","MISTIC E-CG MN","1",NA,22289,0.9341,"2014;2015;2016;2017;2018;2019;2020;2021;2022"
"bare UPC (needs barcode lookup)","075166726863",NA,"VOODOO","prefix",1,"07516672",NA,NA,NA,22057,0.9346,"2014;2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","081085902006","ZOOM","ZOOM","raw",1,"08108590","ZOOM E-CG MN","1",NA,21967,0.9352,"2014;2015;2016;2017;2018;2019"
"e-liquid (impute mL)","081649401348","NICOTEK","NICOTEK","raw",0.999,"08164940","N-M-C E-CG","1",NA,21896,0.9357,"2013;2014;2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","081068701692","NJOY","NJOY","raw",1,"08106870","NJOY E-CGCM POMEGRANATE RFL","2",NA,21812,0.9363,"2014;2015;2016;2017;2018;2019;2020;2023"
"e-liquid (impute mL)","085001975203","PUUR VAPOR","PUUR VAPOR","raw",0.964,"08500197","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY CREAM 750 PUFFS BOX 1 COUNT","1",NA,21295,0.9368,"2021;2022;2023"
"e-liquid (impute mL)","081068701542","NJOY","NJOY","raw",1,"08106870","NJOY E-CG MN KING","5",NA,20990,0.9373,"2013;2014;2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","081505802236","LOGIC","LOGIC","raw",1,"08150580","LOGIC POWER ECGL CRG CHERRY","1",NA,20972,0.9379,"2017;2018;2019;2020"
"e-liquid (impute mL)","084866604604","FINITI","FINITI","raw",1,"08486660","FIN ECGVT CHERRY","2",NA,20907,0.9384,"2014;2015;2016;2017;2018;2019"
"e-liquid (impute mL)","084866604136","FINITI","FINITI","raw",1,"08486660","FIN ECGVT BOLD MN","1",NA,20794,0.9389,"2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","085570400542","MISTIC","MISTIC","raw",0.768,"08557040","MISTIC 2.0 E-CG MN","1",NA,20595,0.9394,"2016;2017;2018;2019;2020"
"e-liquid (impute mL)","085438400470","LOGIC","LOGIC","raw",1,"08543840","LP ECGLC PLATINUM MN","5",NA,20335,0.94,"2015;2016;2017;2018;2020"
"bare UPC (needs barcode lookup)","075166726879",NA,"VOODOO","prefix",1,"07516672",NA,NA,NA,20230,0.9405,"2014;2015;2016;2017;2018;2019"
"e-liquid (impute mL)","081991301500","JUUL","JUUL","raw",1,"08199130","ELCT CGRTT CARTRIDGE","2",NA,20184,0.941,"2018;2019;2020"
"e-liquid (impute mL)","085001975200","PUUR VAPOR","PUUR VAPOR","raw",0.964,"08500197","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY CREAM 750 PUFFS BOX 1 COUNT","1",NA,19871,0.9415,"2021;2022;2023"
"hardware/device (exclude)","072527273070",NA,NA,"unknown",NA,"07252727","ELCT VAPOR DEVICE","1",NA,19776,0.942,"2019"
"e-liquid (impute mL)","084920501715","VUSE","VUSE","raw",1,"08492050","VUSE VIBE SMOKING ALTERNATIVE PRODUCT LIQUID VAPORIZER PEN NECTAR 1 COUNT","1",NA,19715,0.9425,"2019;2020;2021;2022;2023"
"e-liquid (impute mL)","036586037169","VAPIN PLUS","VAPIN PLUS","raw",0.949,"03658603","VPLS E-CG LIQUID RICH TOB","1",NA,19104,0.943,"2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","075166726883","VOODOO","VOODOO","raw",1,"07516672","VOODOO E-HOOKAH EHOK WCWML","1",NA,19052,0.9434,"2015;2016;2017;2018;2019"
"e-liquid (impute mL)","081990502556",NA,"GLAS","prefix",1,"08199050","ELCT CGRTT LIQUID POD","1",NA,18934,0.9439,"2019;2020"
"e-liquid (impute mL)","081010830021",NA,"ZEO","prefix",1,"08101083","ZEO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO TOBACCO BOX 1 COUNT","1",NA,18698,0.9444,"2022;2023"
"e-liquid (impute mL)","079182782732",NA,NA,"unknown",NA,"07918278","AVATA SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO PINEAPPLE BANANA BOX 1 COUNT","1",NA,18684,0.9449,"2022;2023"
"e-liquid (impute mL)","085438400468","LOGIC","LOGIC","raw",1,"08543840","LP ECGLC BLACK TOB","5",NA,18591,0.9453,"2015;2016;2017;2018"
"e-liquid (impute mL)","081085902003","ZOOM","ZOOM","raw",1,"08108590","ZOOM E-CG TOB","1",NA,18258,0.9458,"2014;2015;2016;2017;2018;2019"
"e-liquid (impute mL)","088796900994","BLU","BLU","raw",1,"08879690","ELCT CGRTT LIQUID POD","2",NA,18238,0.9463,"2019;2020"
"e-liquid (impute mL)","085001975227",NA,"PUUR VAPOR","prefix",0.964,"08500197","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO PINA COLADA 750 PUFFS BOX 1 COUNT","1",NA,17973,0.9467,"2021;2022;2023"
"e-liquid (impute mL)","085570400541","MISTIC","MISTIC","raw",0.768,"08557040","MISTIC 2.0 E-CG","1",NA,17803,0.9472,"2016;2017;2018;2019;2020"
"e-liquid (impute mL)","085014900705","MISTIC","MISTIC","raw",1,"08501490","M2CFP E-CG MILK AND HONEY","1",NA,17676,0.9476,"2017;2018;2019;2020"
"e-liquid (impute mL)","081010830024",NA,"ZEO","prefix",1,"08101083","ZEO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO TOBACCO BOX 1 COUNT","1",NA,17518,0.9481,"2022;2023"
"e-liquid (impute mL)","085001975207","PUUR VAPOR","PUUR VAPOR","raw",0.964,"08500197","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BLUE RAZZ 750 PUFFS BOX 1 COUNT","1",NA,17386,0.9485,"2021;2022;2023"
"e-liquid (impute mL)","085604000300","VICTORY","VICTORY","raw",1,"08560400","VICTORY E-CG TOB","1",NA,17357,0.9489,"2013;2014;2015;2016;2017;2018;2019"
"e-liquid (impute mL)","085570400754","HAUS","HAUS","raw",0.768,"08557040","HAUS E-CG LIQUID JAM SESSION","1",NA,17260,0.9494,"2016;2017;2018;2019;2020"
"e-liquid (impute mL)","085013000743","COSMIC FOG","COSMIC FOG","raw",1,"08501300","CSM FG ECGL SONRISE","1",NA,17121,0.9498,"2017;2018;2019;2020"
"e-liquid (impute mL)","081002599277",NA,"IGNITE","prefix",1,"08100259","IGNITE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BANANA ICE BOX 1 COUNT","1",NA,17064,0.9502,"2021;2022;2023"
"e-liquid (impute mL)","081649401350","NICOTEK","NICOTEK","raw",0.999,"08164940","NICOTEK METRO E-CG MN","2",NA,17014,0.9507,"2013;2014;2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","084920500050","VUSE","VUSE","raw",1,"08492050","VUSE DVC OGN/BT&ECCR","1",NA,16582,0.9511,"2013;2014;2015;2016"
"e-liquid (impute mL)","088796901080","BLU","BLU","raw",1,"08879690","ELCT CGRTT LIQUID POD","1",NA,16273,0.9515,"2019;2020"
"e-liquid (impute mL)","088886130204",NA,"LEAP","prefix",1,"08888613","ELCT CGRTT LIQUID POD","1",NA,16113,0.9519,"2019;2020"
"e-liquid (impute mL)","085438400412","LOGIC","LOGIC","raw",1,"08543840","LOGIC E-CG REGULAR TOB","1",NA,15965,0.9523,"2013;2014;2015;2016;2017;2019"
"e-liquid (impute mL)","085438400471","LOGIC","LOGIC","raw",1,"08543840","LP ECGLC BLACK MN","5",NA,15843,0.9527,"2015;2016;2017;2018;2020"
"e-liquid (impute mL)","081821401008","GREEN SMOKE","GREEN SMOKE","raw",1,"08182140","GREEN SMOKE E-CGCM M-I RFL","3",NA,15831,0.9531,"2013;2014;2015;2016;2017;2018"
"e-liquid (impute mL)","081068701787","NJOY","NJOY","raw",1,"08106870","NJOY E-CG LIQUID BLD-ORNGE","1",NA,15758,0.9535,"2014;2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","085001975205","PUUR VAPOR","PUUR VAPOR","raw",0.964,"08500197","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO LUSH IC 750 PUFFS BOX 1 COUNT","1",NA,15655,0.9539,"2021;2022;2023"
"e-liquid (impute mL)","081991301288","JUUL","JUUL","raw",1,"08199130","ELCT CGRTT LIQUID POD","4",NA,15628,0.9543,"2020"
"e-liquid (impute mL)","081990502559",NA,"GLAS","prefix",1,"08199050","ELCT CGRTT LIQUID POD","1",NA,15592,0.9547,"2019;2020"
"e-liquid (impute mL)","819905028503",NA,NA,"unknown",NA,"81990502","ELCT CGRTT LIQUID POD","1",NA,15271,0.9551,"2020"
"e-liquid (impute mL)","081085902009","ZOOM","ZOOM","raw",1,"08108590","ZOOM E-CG MN","1",NA,15187,0.9555,"2014;2015;2016;2017;2018;2019"
"e-liquid (impute mL)","081068701811","NJOY","NJOY","raw",1,"08106870","NJOY E-CG LIQUID PEACH TEA","1",NA,15100,0.9558,"2014;2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","085000888078",NA,"ZEO","prefix",1,"08500088","ZEO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO MINT 1000 PUFFS BOX 1 COUNT","1",NA,14957,0.9562,"2021;2022;2023"
"e-liquid (impute mL)","081068701791","NJOY","NJOY","raw",1,"08106870","NJOY E-CG LIQUID VNLA-BN","1",NA,14940,0.9566,"2014;2015;2016;2017;2018;2019"
"e-liquid (impute mL)","081649401154","NICOTEK","NICOTEK","raw",0.999,"08164940","NICOTEK METRO E-CG","1",NA,14776,0.957,"2013;2014;2015;2016;2018;2019"
"e-liquid (impute mL)","084866604606","FINITI","FINITI","raw",1,"08486660","FIN ECGVT COFFEE","2",NA,14713,0.9573,"2015;2016;2017;2018"
"e-liquid (impute mL)","088886130201",NA,"LEAP","prefix",1,"08888613","ELCT CGRTT LIQUID POD","1",NA,14491,0.9577,"2020;2021;2022;2023"
"e-liquid (impute mL)","085604000306","VICTORY","VICTORY","raw",1,"08560400","VICTORY E-CGC RFL","5",NA,14485,0.9581,"2013;2014;2015;2016;2017;2018"
"e-liquid (impute mL)","065135724943","ESCO BARS","ESCO BARS","raw",1,"06513572","ESCO BARS SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO SPEARMINT BOX 1 COUNT","1",NA,14432,0.9584,"2022;2023"
"e-liquid (impute mL)","081505802044","LOGIC","LOGIC","raw",1,"08150580","LP ECGLC PLATINUM CHERRY","3",NA,14325,0.9588,"2016;2017;2018;2019;2020"
"e-liquid (impute mL)","081990502567",NA,"GLAS","prefix",1,"08199050","ELCT CGRTT LIQUID POD","1",NA,14213,0.9592,"2019;2020"
"e-liquid (impute mL)","088886130209",NA,"LEAP","prefix",1,"08888613","ELCT CGRTT LIQUID POD","1",NA,14147,0.9595,"2019;2020"
"e-liquid (impute mL)","085000888077",NA,"ZEO","prefix",1,"08500088","ZEO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO MANGO EQUALS 4 PACKS BOX 1 COUNT","1",NA,14005,0.9599,"2021;2022;2023"
"e-liquid (impute mL)","085570400789","HAUS","HAUS","raw",0.768,"08557040","HAUS ECSOC","3",NA,13975,0.9602,"2015;2016;2017;2018;2019;2020;2021"
"e-liquid (impute mL)","085001975229","PUUR VAPOR","PUUR VAPOR","raw",0.964,"08500197","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO PINA COLADA 750 PUFFS BOX 1 COUNT","1",NA,13892,0.9606,"2021;2022;2023"
"e-liquid (impute mL)","036586037191","VAPIN PLUS","VAPIN PLUS","raw",0.949,"03658603","VPLS E-CG LIQUID A-T","1",NA,13660,0.9609,"2015;2016;2017;2018;2019"
"e-liquid (impute mL)","036586037563","VAPIN PLUS","VAPIN PLUS","raw",0.949,"03658603","VPLS E-CG LIQUID C-M","1",NA,13539,0.9613,"2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","084866604605","FINITI","FINITI","raw",1,"08486660","FIN ECGVT GRAPE","2",NA,13529,0.9616,"2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","085001975212","PUUR VAPOR","PUUR VAPOR","raw",0.964,"08500197","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO APPLE 750 PUFFS BOX 1 COUNT","1",NA,13463,0.9619,"2021;2022;2023"
"e-liquid (impute mL)","081002599278",NA,"IGNITE","prefix",1,"08100259","IGNITE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO SOUR APPLE ICE BOX 1 COUNT","1",NA,13438,0.9623,"2021;2022;2023"
"e-liquid (impute mL)","085001975204","PUUR VAPOR","PUUR VAPOR","raw",0.964,"08500197","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO LUSH IC 750 PUFFS BOX 1 COUNT","1",NA,13430,0.9626,"2021;2022;2023"
"e-liquid (impute mL)","081713502370",NA,"CUE","prefix",1,"08171350","ELCT CGRTT LIQUID CARTRIDGE","1",NA,13395,0.963,"2018;2019;2020"
"bare UPC (needs barcode lookup)","081713502417",NA,"CUE","prefix",1,"08171350",NA,NA,NA,13212,0.9633,"2018;2019;2020"
"e-liquid (impute mL)","085452700318","VIENTI","VIENTI","raw",1,"08545270","VIENTI E-CGC","5",NA,13113,0.9636,"2013;2014;2015;2016;2017;2018;2023"
"hardware/device (exclude)","088796901110","BLU","BLU","raw",1,"08879690","MY BLU ANTISMOKING KIT ELECTRONIC CIGARETTE INTENSE BOX 1 COUNT","1",NA,13059,0.964,"2019;2020;2021;2022"
"e-liquid (impute mL)","081990502557",NA,"GLAS","prefix",1,"08199050","ELCT CGRTT LIQUID POD","1",NA,12848,0.9643,"2019;2020"
"e-liquid (impute mL)","036586037175","VAPIN PLUS","VAPIN PLUS","raw",0.949,"03658603","VPLS E-CG LIQUID VANILLA","1",NA,12778,0.9646,"2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","081068701795","NJOY","NJOY","raw",1,"08106870","NJOY E-CG LIQUID DBL-ESPRSO","1",NA,12688,0.9649,"2014;2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","085001975202","PUUR VAPOR","PUUR VAPOR","raw",0.964,"08500197","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY CREAM 750 PUFFS BOX 1 COUNT","1",NA,12680,0.9652,"2021;2022;2023"
"e-liquid (impute mL)","081821401174","GREEN SMOKE","GREEN SMOKE","raw",1,"08182140","GREEN SMOKE E-CGCM RL-TB RFL","3",NA,12281,0.9656,"2014;2015;2016;2017"
"e-liquid (impute mL)","085452700319","VIENTI","VIENTI","raw",1,"08545270","VIENTI E-CGC MN","5",NA,12267,0.9659,"2013;2014;2015;2016;2017;2018"
"e-liquid (impute mL)","085014900706","MISTIC","MISTIC","raw",1,"08501490","M2CFP E-CG SONRISE","1",NA,11917,0.9662,"2017;2018;2019;2020"
"e-liquid (impute mL)","081505802005","LOGIC","LOGIC","raw",1,"08150580","LP ECGLC VANILLA","3",NA,11722,0.9665,"2016;2017;2018"
"e-liquid (impute mL)","088796900990","BLU","BLU","raw",1,"08879690","ELCT CGRTT LIQUID POD","1",NA,11705,0.9668,"2019;2020;2021;2022"
"e-liquid (impute mL)","081990502568",NA,"GLAS","prefix",1,"08199050","ELCT CGRTT LIQUID POD","1",NA,11659,0.9671,"2019;2020"
"e-liquid (impute mL)","085001975211","PUUR VAPOR","PUUR VAPOR","raw",0.964,"08500197","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO APPLE 750 PUFFS BOX 1 COUNT","1",NA,11578,0.9673,"2021;2022;2023"
"e-liquid (impute mL)","081068701585","NJOY","NJOY","raw",1,"08106870","NJOY E-CG KING 1CT=","2",NA,11506,0.9676,"2013;2014;2015;2016;2017;2018;2019"
"e-liquid (impute mL)","088886130202",NA,"LEAP","prefix",1,"08888613","ELCT CGRTT LIQUID POD","1",NA,11450,0.9679,"2020;2021;2022;2023"
"e-liquid (impute mL)","085001975209","PUUR VAPOR","PUUR VAPOR","raw",0.964,"08500197","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY BANANA 750 PUFFS BOX 1 COUNT","1",NA,11423,0.9682,"2021;2022;2023"
"hardware/device (exclude)","081991301545","JUUL","JUUL","raw",1,"08199130","JUUL SMOKING ALTERNATIVE PRODUCT ELECTRONIC VAPOR DEVICE THE ALTERNATIVE FOR ADULT SMOK BOX 1 COUNT","1",NA,10966,0.9685,"2019;2020;2021;2022;2023"
"e-liquid (impute mL)","002012631800","MISTIC","MISTIC","raw",1,"00201263","MISTIC E-CG","1",NA,10932,0.9688,"2013;2014;2015;2016;2017;2021"
"e-liquid (impute mL)","085001975210","PUUR VAPOR","PUUR VAPOR","raw",0.964,"08500197","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO APPLE 750 PUFFS BOX 1 COUNT","1",NA,10927,0.969,"2021;2022;2023"
"e-liquid (impute mL)","081505802213","LOGIC","LOGIC","raw",1,"08150580","LOGIC LQD ECTA","3",NA,10907,0.9693,"2016;2017;2018;2019;2020"
"e-liquid (impute mL)","079997584256","VX BRANDZ","VX BRANDZ","raw",1,"07999758","VX BRANDZ E-CG CLMR/BT&ECC","1",NA,10803,0.9696,"2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","081713502330","CUE","CUE","raw",1,"08171350","CUE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID CR MENTHOL VAPOR SYSTEM BOX 1 COUNT","1",NA,10756,0.9699,"2018;2019;2020;2021"
"e-liquid (impute mL)","036586037205","VAPIN PLUS","VAPIN PLUS","raw",0.949,"03658603","VPLS E-CGA A-T OLS","1",NA,10647,0.9701,"2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","009710000229","MARKTEN","MARKTEN","raw",1,"00971000","ELCT VAPOR CGRTT CARTRIDGE","2",NA,10513,0.9704,"2019"
"e-liquid (impute mL)","084866604618","FINITI","FINITI","raw",1,"08486660","FIN ECGVT CHERRY","2",NA,10474,0.9707,"2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","081068701587","NJOY","NJOY","raw",1,"08106870","NJOY E-CG MN KING 1CT=","2",NA,10357,0.9709,"2013;2014;2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","088796901157","BLU","BLU","raw",1,"08879690","BLU SMOKING ALTERNATIVE PRODUCT 1 COUNT","2",NA,10353,0.9712,"2021;2022;2023"
"e-liquid (impute mL)","081649401300","NICOTEK","NICOTEK","raw",0.999,"08164940","NCTK MTR MNGT E-CG MN","1",NA,10306,0.9714,"2013;2014;2015;2016"
"e-liquid (impute mL)","085570400838","MISTIC","MISTIC","raw",0.768,"08557040","MISTIC E-CGC RFL","1",NA,10186,0.9717,"2014;2015;2016;2017;2018;2019"
"e-liquid (impute mL)","078593946481",NA,"POP","prefix",1,"07859394","POP HIT PRO SMOKING ALTERNATIVE PRODUCT MENTHOL 1 COUNT","1",NA,10102,0.972,"2022;2023"
"e-liquid (impute mL)","085604000302","VICTORY","VICTORY","raw",1,"08560400","VICTORY E-CG MN","1",NA,10097,0.9722,"2013;2014;2015;2016;2017;2018;2019;2020;2021"
"e-liquid (impute mL)","081010830133",NA,"ZEO","prefix",1,"08101083","ZEO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO TOBACCO FLAVOR SUNSTONE BOX 1 COUNT","1",NA,9772,0.9725,"2023"
"bare UPC (needs barcode lookup)","085570400540",NA,"HAUS","prefix",0.768,"08557040",NA,NA,NA,9674,0.9727,"2017;2018;2019;2020"
"e-liquid (impute mL)","085570400737","MISTIC","MISTIC","raw",0.768,"08557040","MISTIC E-CGC CHERRY RFL","3",NA,9654,0.9729,"2016;2017;2018;2019;2020"
"e-liquid (impute mL)","075362019867","ESCO BARS","ESCO BARS","raw",1,"07536201","ESCO BARS SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO RAINBOW BOX 1 COUNT","1",NA,9566,0.9732,"2022;2023"
"e-liquid (impute mL)","084920500053","VUSE","VUSE","raw",1,"08492050","VUSE DVC MN/BT&ECCR","1",NA,9494,0.9734,"2013;2014;2015;2016"
"e-liquid (impute mL)","081821401327","GREEN SMOKE","GREEN SMOKE","raw",1,"08182140","GREEN SMOKE EVPC A-T","3",NA,9462,0.9737,"2015;2016;2017;2021"
"e-liquid (impute mL)","085001975208","PUUR VAPOR","PUUR VAPOR","raw",0.964,"08500197","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BLUE RAZZ 750 PUFFS BOX 1 COUNT","1",NA,9393,0.9739,"2021;2022;2023"
"e-liquid (impute mL)","081010830130",NA,"ZEO","prefix",1,"08101083","ZEO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO RUBY BOX 1 COUNT","1",NA,9370,0.9741,"2023"
"e-liquid (impute mL)","081068701586","NJOY","NJOY","raw",1,"08106870","NJOY E-CG KING 1CT=","2",NA,9368,0.9744,"2013;2014;2015;2016;2017;2018;2019;2020;2021"
"e-liquid (impute mL)","085001975290",NA,"PUUR VAPOR","prefix",0.964,"08500197","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BLUEBERRY ICE 750 PUFFS BOX 1 COUNT","1",NA,9191,0.9746,"2021;2022;2023"
"e-liquid (impute mL)","088796900877","BLU","BLU","raw",1,"08879690","ELCT CGRTT LIQUID POD","1",NA,9133,0.9748,"2018;2019;2020"
"e-liquid (impute mL)","081821401007","GREEN SMOKE","GREEN SMOKE","raw",1,"08182140","GREEN SMOKE E-CGCM A-T RFL","3",NA,8985,0.9751,"2013;2014;2015;2016;2017;2018"
"e-liquid (impute mL)","036586038277","21ST CENTURY SMOKE","21ST CENTURY SMOKE","raw",0.949,"03658603","21SCS E-CG REGULAR TOB","1",NA,8865,0.9753,"2013;2014;2015;2016;2017;2018;2019;2021"
"e-liquid (impute mL)","084866604131","FINITI","FINITI","raw",1,"08486660","FIN ECGVT BOLD TOB","1",NA,8720,0.9755,"2015;2016;2017;2018;2019"
"e-liquid (impute mL)","081821401328","GREEN SMOKE","GREEN SMOKE","raw",1,"08182140","GREEN SMOKE EVPC M-I","3",NA,8522,0.9757,"2015;2016;2017;2018"
"e-liquid (impute mL)","081821401334","GREEN SMOKE","GREEN SMOKE","raw",1,"08182140","GREEN SMOKE EVPC CLASSIC","3",NA,8521,0.9759,"2016;2017;2018;2021"
"e-liquid (impute mL)","088796900577","BLU","BLU","raw",1,"08879690","ELCT CGRTT","1",NA,8507,0.9762,"2018;2019;2020"
"e-liquid (impute mL)","081679601414","V2 CIGS","V2 CIGS","raw",1,"08167960","V2 CIGS E-CG RT","1",NA,8195,0.9764,"2014;2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","084866646235","FINITI","FINITI","raw",1,"08486664","FIN ECGVT VANILLA","2",NA,8194,0.9766,"2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","085570400545","MISTIC","MISTIC","raw",0.768,"08557040","MISTIC 2.0 E-CG STBRY CRUSH","1",NA,8155,0.9768,"2016;2017;2018;2019;2020"
"e-liquid (impute mL)","081649401155","NICOTEK","NICOTEK","raw",0.999,"08164940","NCTK MTR SVN E-CG MN","1",NA,8101,0.977,"2013;2014;2015;2016;2019"
"bare UPC (needs barcode lookup)","081713502319",NA,"CUE","prefix",1,"08171350",NA,NA,NA,8092,0.9772,"2018;2019;2020"
"e-liquid (impute mL)","036586037163","VAPIN PLUS","VAPIN PLUS","raw",0.949,"03658603","VPLS E-CG LIQUID CHERRY","1",NA,7999,0.9774,"2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","085570400543","MISTIC","MISTIC","raw",0.768,"08557040","MISTIC 2.0 E-CG FRUIT BLAST","1",NA,7964,0.9776,"2016;2017;2018;2019;2020"
"e-liquid (impute mL)","085607300315","JAK","JAK","raw",1,"08560730","JAK E-CG VANILLA","1",NA,7926,0.9778,"2015;2016;2017;2018;2019;2020;2021;2022;2023"
